post_number,post_link,board,content,date
1047717,https://theqoo.net/beauty/4259376453?page=201,beauty,부럽다,26.06.27
1047717,https://theqoo.net/beauty/4259376453?page=201,beauty,어디서 받아?,26.06.27
1047713,https://theqoo.net/beauty/4259363506?page=201,beauty,나도ㅠㅠㅠㅠㅠ,26.06.27
1047713,https://theqoo.net/beauty/4259363506?page=201,beauty,혹시어디서 성공함?ㅠㅠ,26.06.27
1047713,https://theqoo.net/beauty/4259363506?page=201,beauty,난 또 실패,26.06.27
1047713,https://theqoo.net/beauty/4259363506?page=201,beauty,몇초에 들어가야되는겨 🙄,26.06.27
1047713,https://theqoo.net/beauty/4259363506?page=201,beauty,와 부럽다,26.06.27
1047713,https://theqoo.net/beauty/4259363506?page=201,beauty,"오픈채팅방으로 가야해? 성공한 사람은 있는데
아무도 안 알려주더라ㅠ",26.06.27
1047713,https://theqoo.net/beauty/4259363506?page=201,beauty,@6 ㅇㅇ 오픈채팅방가면 링크 공유해줌,26.06.27
1047713,https://theqoo.net/beauty/4259363506?page=201,beauty,난 성공했다고 분명히 떴는데 다시 들어가니까 실패래ㅋㅋ,26.06.27
1047713,https://theqoo.net/beauty/4259363506?page=201,beauty,부럽다ㅠㅠ,26.06.27
1047612,https://theqoo.net/beauty/4258780041?page=206,beauty,체감상 요즘 꽤주는 거 같아,26.06.27
1047612,https://theqoo.net/beauty/4258780041?page=206,beauty,ㅇㅇ 인플루언서 통해서 종종 40도 받고,26.06.27
1047612,https://theqoo.net/beauty/4258780041?page=206,beauty,올영 파이 어케든 먹어볼려고 달려드는중이라 지금은 뿌릴때임,26.06.27
1047612,https://theqoo.net/beauty/4258780041?page=206,beauty,제발 ㅜㅠ 일요일에 줬으면좋겟다 ㅜㅠㅠ,26.06.27
1047716,https://theqoo.net/beauty/4259373930?page=201,beauty,그니까,26.06.27
1047319,https://theqoo.net/beauty/4257144118?page=220,beauty,5초에 들어가도 그렇더라,26.06.25
1047317,https://theqoo.net/beauty/4257138680?page=221,beauty,왜 난 안줘!!,26.06.25
1047317,https://theqoo.net/beauty/4257138680?page=221,beauty,오 나도 들어와있네 덕분에 확인했어ㅋㅋㄱㅅㄱㅅ,26.06.25
1047317,https://theqoo.net/beauty/4257138680?page=221,beauty,@1 나도 샀는데 안 줌ㅜㅜ,26.06.25
1047317,https://theqoo.net/beauty/4257138680?page=221,beauty,와 뭐 사지 ㅋㅋㅋㅋ,26.06.25
1047317,https://theqoo.net/beauty/4257138680?page=221,beauty,나도 지난주에 샀는데 왜 안 주지..,26.06.25
1047317,https://theqoo.net/beauty/4257138680?page=221,beauty,헐 나도 둘어왔다 뭐사지 ㅋㅋㅋ,26.06.25
1047315,https://theqoo.net/beauty/4257124684?page=221,beauty,아냐 간택이야 나 저번주꺼 s10으로 받았어,26.06.25
1047315,https://theqoo.net/beauty/4257124684?page=221,beauty,나 폰바꾼지 한달도 안됐는데..ㅜ26울인데.. 그냥 안뜸ㅋ,26.06.25
1047315,https://theqoo.net/beauty/4257124684?page=221,beauty,그냥 간택인듯,26.06.25
1047315,https://theqoo.net/beauty/4257124684?page=221,beauty,"아님,, 6년된폰도 잘되던데",26.06.25
1047315,https://theqoo.net/beauty/4257124684?page=221,beauty,헐진짜? 아...... 간택 싫다 진짜ㅜ 1트만에 엄마폰으로 성공해서 확실히 폰이 가볍고 빨라서 다른가 했음ㅠㅠ,26.06.25
