number,category,title,has_image,comment_count,date,view_count,link,board,content,image_count
1047717,잡담,직잭 오늘 하루 전부 성공해서 16500 생김,False,2,26.06.27,553,https://theqoo.net/beauty/4259376453?page=201,beauty,"몰아서 받고싶었는데 성공 ㅎㅅㅎ
옛날엔 다 따로 받았는데 그냥 몰아받는게 나은거갗아",0
1047716,잡담,직잭 만포 한번 누르면 반응 없고 연타하면 요청 많다고 네트워크 오류로 튕김,False,1,26.06.27,201,https://theqoo.net/beauty/4259373930?page=201,beauty,아 어쩌란 말이냐,0
1047713,잡담,와 직잭 만포 드디어 성공함,False,9,26.06.27,547,https://theqoo.net/beauty/4259363506?page=201,beauty,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0
1047612,잡담,지그재그 쿠폰 자주줘??,False,4,26.06.27,795,https://theqoo.net/beauty/4258780041?page=206,beauty,금요일에 살까하다가 ㅠ 고민되서 안삿는데 ㅠ 그새 쿠폰이 줄엇네 ㅠㅠ 30%쿠폰 잘안주는거야??,0
1047546,잡담,ㅇㅂㅌ 직잭 올해 1월초까지는 직진배송은 반품만 되고 교환은 안됐는데,False,0,26.06.26,162,https://theqoo.net/beauty/4258352593?page=209,beauty,"이제 교환도 되게 바뀌었구나 오
그땐 반품만 된대서 결국 반품하고 쿠폰 다 기한 지나고 날리고
똑같은 걸 돈 더 내고 샀었는데 ㅋㅋㅋㅋ 잘 바뀌었네",0
1047319,잡담,직잭 만포 링크 눌러도 맨날 방 개설하는 화면만 떠,False,1,26.06.25,271,https://theqoo.net/beauty/4257144118?page=220,beauty,"개킹받는다ㅜㅜ 아오
2-3초 뒤에 누르는데 맨날 저 ㅈㄹ 몇 초 이따가 들어가면 마감임",0
1047317,잡담,직잭팟기간중에 구매했다고 삼천포 주네 ㅋㅋㅋㅋㅋ,False,6,26.06.25,655,https://theqoo.net/beauty/4257138680?page=221,beauty,오늘까지인데 이걸로 머사지 흠,0
1047315,잡담,직잭 포인트 용량 큰 최신폰이 답이었다(가 아니고 간택이래...),True,5,26.06.25,661,https://theqoo.net/beauty/4257124684?page=221,beauty,엄마가 저저번주에 갤26+ 512로 바꿔서 혹시나 더 잘되려나 하고 해봤는데 1트만에 성공... 쌰갈 나는 5년된 폰으로 저번주랑 이번주 내내 만포 성공 못했는데,1
1047245,잡담,ㅇㅂㅌ 무신사 요아정 3천원 쿠폰 사용해?,False,3,26.06.25,267,https://theqoo.net/beauty/4256692638?page=224,beauty,홈페이지 가입해야해서ㅋㅋ,0
1047174,잡담,얘두라 무신사 30퍼 쿠폰 한율 립밤 된다,True,0,26.06.24,560,https://theqoo.net/beauty/4256243272?page=228,beauty,제발 사줘 개조아~~~~,1
1047161,잡담,직잭 포인트모은걸로 뭐삿어?!,False,1,26.06.24,232,https://theqoo.net/beauty/4256189989?page=228,beauty,잔잔바리로 끌리는건 있는데 이거다!!하는게없네 ㅠㅠ 다들 뭐삿어??,0
1047117,잡담,직잭 포인트 연장 이렇게하는게 맞나??,True,2,26.06.24,558,https://theqoo.net/beauty/4255918714?page=231,beauty,"게시판 검색해보긴했는데 처음해봐서
그리고 쓰고싶을때 취소하면 들어오는거야???
답변해준다면 감사합니답",1
1047104,잡담,직잭 무통 포인트 취소한거 오늘 안에 들어오겠지,False,2,26.06.24,246,https://theqoo.net/beauty/4255830484?page=231,beauty,왜 바로 안 들어와ㅜㅜ..,0
1047097,잡담,직잭 이번엔 5000포 안주나?? ㅠㅠ,False,0,26.06.24,208,https://theqoo.net/beauty/4255806504?page=232,beauty,포인트 뿌리는거 안하나??,0
1047096,잡담,지그재그 포인트 취소,False,1,26.06.24,337,https://theqoo.net/beauty/4255800390?page=232,beauty,지굼까지 2번환불적립됐는데 무통으로 기간늘리는거 한번더 되눈거맞지?? 환불적립기준으로 3번!!,0
1047095,잡담,직잭 무통장취소하면 포인트 돌아오는거아냐..?,False,6,26.06.24,380,https://theqoo.net/beauty/4255793319?page=232,beauty,왜 안들어오지?ㅠㅠ 렉인가..,0
1047094,잡담,이번 직잭은 4000포도 못 받겠는데,False,3,26.06.24,385,https://theqoo.net/beauty/4255793061?page=232,beauty,며칠째 클릭해도 안 먹힘,0
